[26-09-2023 21:37:18.526 INFO] - Open correct page
[26-09-2023 21:37:19.003 INFO] - Input email success
[26-09-2023 21:37:19.262 INFO] - Input password success
[26-09-2023 21:37:20.515 INFO] - Input email success
[26-09-2023 21:37:20.697 INFO] - Input password success
[26-09-2023 21:37:21.864 INFO] - Input email success
[26-09-2023 21:37:22.021 INFO] - Input password success
[26-09-2023 21:37:23.244 INFO] - Input email success
[26-09-2023 21:37:23.397 INFO] - Input password success
[26-09-2023 21:37:24.632 INFO] - Input email success
[26-09-2023 21:37:24.781 INFO] - Input password success
[26-09-2023 21:37:26.042 INFO] - Input email success
[26-09-2023 21:37:26.169 INFO] - Input password success
[26-09-2023 21:37:27.375 INFO] - Input email success
[26-09-2023 21:37:27.621 INFO] - Input password success
[26-09-2023 21:37:28.859 INFO] - Input email success
[26-09-2023 21:37:29.007 INFO] - Input password success
[26-09-2023 21:37:30.217 INFO] - Input email success
[26-09-2023 21:37:30.376 INFO] - Input password success
[26-09-2023 21:37:31.581 INFO] - Input email success
[26-09-2023 21:37:31.731 INFO] - Input password success
[26-09-2023 21:37:32.941 INFO] - Input email success
[26-09-2023 21:37:33.063 INFO] - Input password success
[26-09-2023 21:37:34.269 INFO] - Input email success
[26-09-2023 21:37:34.439 INFO] - Input password success
[26-09-2023 21:37:35.621 INFO] - Input email success
[26-09-2023 21:37:35.752 INFO] - Input password success
[26-09-2023 21:37:36.938 INFO] - Input email success
[26-09-2023 21:37:37.059 INFO] - Input password success
[26-09-2023 21:37:38.226 INFO] - Input email success
[26-09-2023 21:37:38.359 INFO] - Input password success
[26-09-2023 21:37:39.570 INFO] - Input email success
[26-09-2023 21:37:39.731 INFO] - Input password success
[26-09-2023 21:37:40.901 INFO] - Input email success
[26-09-2023 21:37:41.055 INFO] - Input password success
[26-09-2023 21:37:42.294 INFO] - Input email success
[26-09-2023 21:37:42.433 INFO] - Input password success
[26-09-2023 21:37:43.725 INFO] - Input email success
[26-09-2023 21:37:43.889 INFO] - Input password success
[26-09-2023 21:37:45.343 INFO] - Input email success
[26-09-2023 21:37:45.496 INFO] - Input password success
[26-09-2023 21:37:46.840 INFO] - Input email success
[26-09-2023 21:37:47.188 INFO] - Input password success
[26-09-2023 21:37:48.390 INFO] - Input email success
[26-09-2023 21:37:48.542 INFO] - Input password success
