[27-09-2023 11:08:30.927 INFO] - Open correct page
[27-09-2023 11:08:31.092 INFO] - Input email success
[27-09-2023 11:08:31.204 INFO] - Input password success
[27-09-2023 11:08:32.303 INFO] - Input email success
[27-09-2023 11:08:32.433 INFO] - Input password success
[27-09-2023 11:08:33.554 INFO] - Input email success
[27-09-2023 11:08:33.651 INFO] - Input password success
[27-09-2023 11:08:34.746 INFO] - Input email success
[27-09-2023 11:08:34.825 INFO] - Input password success
[27-09-2023 11:08:35.922 INFO] - Input email success
[27-09-2023 11:08:36.036 INFO] - Input password success
[27-09-2023 11:08:37.127 INFO] - Input email success
[27-09-2023 11:08:37.236 INFO] - Input password success
[27-09-2023 11:08:38.374 INFO] - Input email success
[27-09-2023 11:08:38.498 INFO] - Input password success
[27-09-2023 11:08:39.512 INFO] - ---------- Login_01_Loginsuccessfully Success test ----------
