[26-09-2023 22:38:51.209 INFO] - Open correct page
[26-09-2023 22:38:51.748 INFO] - Input email success
[26-09-2023 22:38:51.964 INFO] - Input password success
[26-09-2023 22:38:53.176 INFO] - Input email success
[26-09-2023 22:38:53.344 INFO] - Input password success
[26-09-2023 22:38:54.566 INFO] - Input email success
[26-09-2023 22:38:54.721 INFO] - Input password success
[26-09-2023 22:38:55.890 INFO] - Input email success
[26-09-2023 22:38:56.016 INFO] - Input password success
[26-09-2023 22:38:57.305 INFO] - Input email success
[26-09-2023 22:38:57.530 INFO] - Input password success
[26-09-2023 22:38:58.757 INFO] - Input email success
[26-09-2023 22:38:58.921 INFO] - Input password success
[26-09-2023 22:39:00.125 INFO] - Input email success
[26-09-2023 22:39:00.280 INFO] - Input password success
[26-09-2023 22:39:01.448 INFO] - Input email success
[26-09-2023 22:39:01.599 INFO] - Input password success
[26-09-2023 22:39:02.782 INFO] - Input email success
[26-09-2023 22:39:02.934 INFO] - Input password success
[26-09-2023 22:39:04.094 INFO] - Input email success
[26-09-2023 22:39:04.259 INFO] - Input password success
[26-09-2023 22:39:05.476 INFO] - Input email success
[26-09-2023 22:39:05.637 INFO] - Input password success
[26-09-2023 22:39:06.713 INFO] - ---------- Login_01_Loginsuccessfully FAILED test ----------
[26-09-2023 22:39:06.734 INFO] - ---------- Login_01_Loginsuccessfully FAILED test ----------
